date,Ave_INI,SD_INI,Ave_PF,SD_PF,Num_INI
11/01/2005,12.53443709,0.27761997,21.41258278,0.795261352,151
22/01/2005,12.47903226,0.315010438,20.91935484,0.557240212,124
28/01/2005,12.58556701,0.316553606,21.27113402,0.778213601,97
08/02/2005,12.81487603,0.390653546,21.23305785,0.786382904,121
14/02/2005,14.975,3.147264063,21.10595238,0.847157002,84
26/02/2005,12.67567568,0.263699087,21.11891892,0.982542923,74
28/02/2005,12.85,0.419107251,21.39705882,0.81134168,170
13/03/2005,12.76363636,0.224387278,21.08939394,0.759378043,66
24/03/2005,12.59844961,0.360551768,20.91782946,0.823905487,129
28/03/2005,12.58125,0.282200455,21.28125,0.792479775,32
